SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-01-13,1.3
1,基隆,2,一氧化碳,CO,ppm,2019-01-13,.48
1,基隆,3,臭氧,O3,ppb,2019-01-13,29.4
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-01-13,19
1,基隆,5,氮氧化物,NOx,ppb,2019-01-13,x
1,基隆,6,一氧化氮,NO,ppb,2019-01-13,x
1,基隆,7,二氧化氮,NO2,ppb,2019-01-13,x
1,基隆,8,總碳氫化合物,THC,ppm,2019-01-13,1.921
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.081
1,基隆,10,風速,WIND_SPEED,m/sec,2019-01-13,.79
1,基隆,14,溫度,AMB_TEMP,℃,2019-01-13,17.59
1,基隆,31,甲烷,CH4,ppm,2019-01-13,1.84
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
1,基隆,38,相對濕度,RH,percent,2019-01-13,92.85
1,基隆,143,小時風速值,WS_HR,m/sec,2019-01-13,.5
2,汐止,1,二氧化硫,SO2,ppb,2019-01-13,2.2
2,汐止,2,一氧化碳,CO,ppm,2019-01-13,.54
2,汐止,3,臭氧,O3,ppb,2019-01-13,26.4
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-01-13,14
2,汐止,5,氮氧化物,NOx,ppb,2019-01-13,14.12
2,汐止,6,一氧化氮,NO,ppb,2019-01-13,1.79
2,汐止,7,二氧化氮,NO2,ppb,2019-01-13,12.33
2,汐止,10,風速,WIND_SPEED,m/sec,2019-01-13,2.22
2,汐止,14,溫度,AMB_TEMP,℃,2019-01-13,17.86
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,10
2,汐止,38,相對濕度,RH,percent,2019-01-13,92.98
2,汐止,143,小時風速值,WS_HR,m/sec,2019-01-13,2.1
3,萬里,1,二氧化硫,SO2,ppb,2019-01-13,1.4
3,萬里,2,一氧化碳,CO,ppm,2019-01-13,.42
3,萬里,3,臭氧,O3,ppb,2019-01-13,38.9
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-01-13,42
3,萬里,5,氮氧化物,NOx,ppb,2019-01-13,6.21
3,萬里,6,一氧化氮,NO,ppb,2019-01-13,1.8
3,萬里,7,二氧化氮,NO2,ppb,2019-01-13,4.4
3,萬里,10,風速,WIND_SPEED,m/sec,2019-01-13,4.12
3,萬里,14,溫度,AMB_TEMP,℃,2019-01-13,18.82
3,萬里,21,酸雨,PH_RAIN,pH,2019-01-13,3.52
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-01-13,302.64
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-01-13,1.7
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,11
3,萬里,38,相對濕度,RH,percent,2019-01-13,88.5
3,萬里,143,小時風速值,WS_HR,m/sec,2019-01-13,3.58
4,新店,1,二氧化硫,SO2,ppb,2019-01-13,.8
4,新店,2,一氧化碳,CO,ppm,2019-01-13,.52
4,新店,3,臭氧,O3,ppb,2019-01-13,26.3
4,新店,4,懸浮微粒,PM10,μg/m3,2019-01-13,12
4,新店,5,氮氧化物,NOx,ppb,2019-01-13,13.01
4,新店,6,一氧化氮,NO,ppb,2019-01-13,2.27
4,新店,7,二氧化氮,NO2,ppb,2019-01-13,10.73
4,新店,10,風速,WIND_SPEED,m/sec,2019-01-13,1.45
4,新店,14,溫度,AMB_TEMP,℃,2019-01-13,19.95
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,7
4,新店,38,相對濕度,RH,percent,2019-01-13,79.6
4,新店,143,小時風速值,WS_HR,m/sec,2019-01-13,1.03
5,土城,1,二氧化硫,SO2,ppb,2019-01-13,.9
5,土城,2,一氧化碳,CO,ppm,2019-01-13,.54
5,土城,3,臭氧,O3,ppb,2019-01-13,29.7
5,土城,4,懸浮微粒,PM10,μg/m3,2019-01-13,16
5,土城,5,氮氧化物,NOx,ppb,2019-01-13,12.5
5,土城,6,一氧化氮,NO,ppb,2019-01-13,.76
5,土城,7,二氧化氮,NO2,ppb,2019-01-13,11.72
5,土城,8,總碳氫化合物,THC,ppm,2019-01-13,2.029
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.108
5,土城,10,風速,WIND_SPEED,m/sec,2019-01-13,1.38
5,土城,14,溫度,AMB_TEMP,℃,2019-01-13,19.25
5,土城,31,甲烷,CH4,ppm,2019-01-13,1.921
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,12
5,土城,38,相對濕度,RH,percent,2019-01-13,77.48
5,土城,143,小時風速值,WS_HR,m/sec,2019-01-13,.58
6,板橋,1,二氧化硫,SO2,ppb,2019-01-13,1.4
6,板橋,2,一氧化碳,CO,ppm,2019-01-13,.56
6,板橋,3,臭氧,O3,ppb,2019-01-13,24.9
6,板橋,4,懸浮微粒,PM10,μg/m3,2019-01-13,17
6,板橋,5,氮氧化物,NOx,ppb,2019-01-13,17.23
6,板橋,6,一氧化氮,NO,ppb,2019-01-13,3.29
6,板橋,7,二氧化氮,NO2,ppb,2019-01-13,13.94
6,板橋,8,總碳氫化合物,THC,ppm,2019-01-13,2.078
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.106
6,板橋,10,風速,WIND_SPEED,m/sec,2019-01-13,2.57
6,板橋,14,溫度,AMB_TEMP,℃,2019-01-13,19.46
6,板橋,21,酸雨,PH_RAIN,pH,2019-01-13,0
6,板橋,22,導電度,RAIN_COND,μmho/cm,2019-01-13,0
6,板橋,31,甲烷,CH4,ppm,2019-01-13,1.972
6,板橋,32,降雨強度,RAIN_INT,㎜,2019-01-13,0
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,10
6,板橋,38,相對濕度,RH,percent,2019-01-13,77.51
6,板橋,143,小時風速值,WS_HR,m/sec,2019-01-13,2.18
7,新莊,1,二氧化硫,SO2,ppb,2019-01-13,1.5
7,新莊,2,一氧化碳,CO,ppm,2019-01-13,.58
7,新莊,3,臭氧,O3,ppb,2019-01-13,27.4
7,新莊,4,懸浮微粒,PM10,μg/m3,2019-01-13,19
7,新莊,5,氮氧化物,NOx,ppb,2019-01-13,15.16
7,新莊,6,一氧化氮,NO,ppb,2019-01-13,1.99
7,新莊,7,二氧化氮,NO2,ppb,2019-01-13,13.17
7,新莊,10,風速,WIND_SPEED,m/sec,2019-01-13,3.08
7,新莊,14,溫度,AMB_TEMP,℃,2019-01-13,19.49
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,6
7,新莊,38,相對濕度,RH,percent,2019-01-13,71.95
7,新莊,143,小時風速值,WS_HR,m/sec,2019-01-13,2.93
8,菜寮,1,二氧化硫,SO2,ppb,2019-01-13,2.1
8,菜寮,2,一氧化碳,CO,ppm,2019-01-13,.59
8,菜寮,3,臭氧,O3,ppb,2019-01-13,21.4
8,菜寮,4,懸浮微粒,PM10,μg/m3,2019-01-13,14
8,菜寮,5,氮氧化物,NOx,ppb,2019-01-13,12.58
8,菜寮,6,一氧化氮,NO,ppb,2019-01-13,2.01
8,菜寮,7,二氧化氮,NO2,ppb,2019-01-13,10.58
8,菜寮,10,風速,WIND_SPEED,m/sec,2019-01-13,2.91
8,菜寮,14,溫度,AMB_TEMP,℃,2019-01-13,19.3
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
8,菜寮,38,相對濕度,RH,percent,2019-01-13,75.24
8,菜寮,143,小時風速值,WS_HR,m/sec,2019-01-13,2.69
9,林口,1,二氧化硫,SO2,ppb,2019-01-13,1.6
9,林口,2,一氧化碳,CO,ppm,2019-01-13,.49
9,林口,3,臭氧,O3,ppb,2019-01-13,29.4
9,林口,4,懸浮微粒,PM10,μg/m3,2019-01-13,20
9,林口,5,氮氧化物,NOx,ppb,2019-01-13,10.38
9,林口,6,一氧化氮,NO,ppb,2019-01-13,1.71
9,林口,7,二氧化氮,NO2,ppb,2019-01-13,8.67
9,林口,10,風速,WIND_SPEED,m/sec,2019-01-13,2.29
9,林口,14,溫度,AMB_TEMP,℃,2019-01-13,16.23
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,8
9,林口,38,相對濕度,RH,percent,2019-01-13,91.03
9,林口,143,小時風速值,WS_HR,m/sec,2019-01-13,2.22
10,淡水,1,二氧化硫,SO2,ppb,2019-01-13,.9
10,淡水,2,一氧化碳,CO,ppm,2019-01-13,.47
10,淡水,3,臭氧,O3,ppb,2019-01-13,33.6
10,淡水,4,懸浮微粒,PM10,μg/m3,2019-01-13,11
10,淡水,5,氮氧化物,NOx,ppb,2019-01-13,6.25
10,淡水,6,一氧化氮,NO,ppb,2019-01-13,.9
10,淡水,7,二氧化氮,NO2,ppb,2019-01-13,5.34
10,淡水,10,風速,WIND_SPEED,m/sec,2019-01-13,1.9
10,淡水,14,溫度,AMB_TEMP,℃,2019-01-13,18.18
10,淡水,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,8
10,淡水,38,相對濕度,RH,percent,2019-01-13,84.79
11,士林,1,二氧化硫,SO2,ppb,2019-01-13,1.9
11,士林,2,一氧化碳,CO,ppm,2019-01-13,.49
11,士林,3,臭氧,O3,ppb,2019-01-13,31.4
11,士林,4,懸浮微粒,PM10,μg/m3,2019-01-13,12
11,士林,5,氮氧化物,NOx,ppb,2019-01-13,11.54
11,士林,6,一氧化氮,NO,ppb,2019-01-13,2.76
11,士林,7,二氧化氮,NO2,ppb,2019-01-13,8.79
11,士林,10,風速,WIND_SPEED,m/sec,2019-01-13,2.17
11,士林,14,溫度,AMB_TEMP,℃,2019-01-13,19.86
11,士林,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,7
11,士林,38,相對濕度,RH,percent,2019-01-13,76.35
11,士林,143,小時風速值,WS_HR,m/sec,2019-01-13,1.76
12,中山,1,二氧化硫,SO2,ppb,2019-01-13,1.4
12,中山,2,一氧化碳,CO,ppm,2019-01-13,.62
12,中山,3,臭氧,O3,ppb,2019-01-13,23.4
12,中山,4,懸浮微粒,PM10,μg/m3,2019-01-13,20
12,中山,5,氮氧化物,NOx,ppb,2019-01-13,21.24
12,中山,6,一氧化氮,NO,ppb,2019-01-13,4.58
12,中山,7,二氧化氮,NO2,ppb,2019-01-13,16.66
12,中山,8,總碳氫化合物,THC,ppm,2019-01-13,2.004
12,中山,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.12
12,中山,10,風速,WIND_SPEED,m/sec,2019-01-13,2.18
12,中山,14,溫度,AMB_TEMP,℃,2019-01-13,18.89
12,中山,31,甲烷,CH4,ppm,2019-01-13,1.884
12,中山,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,6
12,中山,38,相對濕度,RH,percent,2019-01-13,85.29
12,中山,143,小時風速值,WS_HR,m/sec,2019-01-13,1.96
13,萬華,1,二氧化硫,SO2,ppb,2019-01-13,.9
13,萬華,2,一氧化碳,CO,ppm,2019-01-13,.55
13,萬華,3,臭氧,O3,ppb,2019-01-13,23.4
13,萬華,4,懸浮微粒,PM10,μg/m3,2019-01-13,17
13,萬華,5,氮氧化物,NOx,ppb,2019-01-13,19.67
13,萬華,6,一氧化氮,NO,ppb,2019-01-13,4.32
13,萬華,7,二氧化氮,NO2,ppb,2019-01-13,15.35
13,萬華,10,風速,WIND_SPEED,m/sec,2019-01-13,2.6
13,萬華,14,溫度,AMB_TEMP,℃,2019-01-13,19.28
13,萬華,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,7
13,萬華,38,相對濕度,RH,percent,2019-01-13,78.64
13,萬華,143,小時風速值,WS_HR,m/sec,2019-01-13,2.34
14,古亭,1,二氧化硫,SO2,ppb,2019-01-13,1.3
14,古亭,2,一氧化碳,CO,ppm,2019-01-13,.53
14,古亭,3,臭氧,O3,ppb,2019-01-13,28.7
14,古亭,4,懸浮微粒,PM10,μg/m3,2019-01-13,21
14,古亭,5,氮氧化物,NOx,ppb,2019-01-13,13.45
14,古亭,6,一氧化氮,NO,ppb,2019-01-13,2.22
14,古亭,7,二氧化氮,NO2,ppb,2019-01-13,11.23
14,古亭,8,總碳氫化合物,THC,ppm,2019-01-13,2.059
14,古亭,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.093
14,古亭,10,風速,WIND_SPEED,m/sec,2019-01-13,2.76
14,古亭,14,溫度,AMB_TEMP,℃,2019-01-13,18.65
14,古亭,31,甲烷,CH4,ppm,2019-01-13,1.966
14,古亭,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
14,古亭,38,相對濕度,RH,percent,2019-01-13,83.18
14,古亭,143,小時風速值,WS_HR,m/sec,2019-01-13,2.46
15,松山,1,二氧化硫,SO2,ppb,2019-01-13,1.9
15,松山,2,一氧化碳,CO,ppm,2019-01-13,.58
15,松山,3,臭氧,O3,ppb,2019-01-13,26.3
15,松山,4,懸浮微粒,PM10,μg/m3,2019-01-13,25
15,松山,5,氮氧化物,NOx,ppb,2019-01-13,14.65
15,松山,6,一氧化氮,NO,ppb,2019-01-13,1.77
15,松山,7,二氧化氮,NO2,ppb,2019-01-13,12.91
15,松山,8,總碳氫化合物,THC,ppm,2019-01-13,1.932
15,松山,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.089
15,松山,10,風速,WIND_SPEED,m/sec,2019-01-13,2.02
15,松山,14,溫度,AMB_TEMP,℃,2019-01-13,17.91
15,松山,31,甲烷,CH4,ppm,2019-01-13,1.843
15,松山,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,8
15,松山,36,二氧化碳,CO2,ppm,2019-01-13,435.8
15,松山,38,相對濕度,RH,percent,2019-01-13,84.82
15,松山,143,小時風速值,WS_HR,m/sec,2019-01-13,1.51
16,大同,1,二氧化硫,SO2,ppb,2019-01-13,1.5
16,大同,2,一氧化碳,CO,ppm,2019-01-13,.9
16,大同,4,懸浮微粒,PM10,μg/m3,2019-01-13,18
16,大同,5,氮氧化物,NOx,ppb,2019-01-13,44.97
16,大同,6,一氧化氮,NO,ppb,2019-01-13,22.42
16,大同,7,二氧化氮,NO2,ppb,2019-01-13,22.55
16,大同,8,總碳氫化合物,THC,ppm,2019-01-13,2.198
16,大同,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.21
16,大同,31,甲烷,CH4,ppm,2019-01-13,1.988
16,大同,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,6
17,桃園,1,二氧化硫,SO2,ppb,2019-01-13,2
17,桃園,2,一氧化碳,CO,ppm,2019-01-13,.62
17,桃園,3,臭氧,O3,ppb,2019-01-13,23
17,桃園,4,懸浮微粒,PM10,μg/m3,2019-01-13,21
17,桃園,5,氮氧化物,NOx,ppb,2019-01-13,12.98
17,桃園,6,一氧化氮,NO,ppb,2019-01-13,2.21
17,桃園,7,二氧化氮,NO2,ppb,2019-01-13,10.77
17,桃園,8,總碳氫化合物,THC,ppm,2019-01-13,2.157
17,桃園,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.131
17,桃園,10,風速,WIND_SPEED,m/sec,2019-01-13,2.26
17,桃園,14,溫度,AMB_TEMP,℃,2019-01-13,17.71
17,桃園,31,甲烷,CH4,ppm,2019-01-13,2.026
17,桃園,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
17,桃園,38,相對濕度,RH,percent,2019-01-13,84.08
17,桃園,143,小時風速值,WS_HR,m/sec,2019-01-13,1.97
18,大園,1,二氧化硫,SO2,ppb,2019-01-13,2.5
18,大園,2,一氧化碳,CO,ppm,2019-01-13,.5
18,大園,3,臭氧,O3,ppb,2019-01-13,32.9
18,大園,4,懸浮微粒,PM10,μg/m3,2019-01-13,27
18,大園,5,氮氧化物,NOx,ppb,2019-01-13,15.24
18,大園,6,一氧化氮,NO,ppb,2019-01-13,3.75
18,大園,7,二氧化氮,NO2,ppb,2019-01-13,11.48
18,大園,10,風速,WIND_SPEED,m/sec,2019-01-13,6.35
18,大園,14,溫度,AMB_TEMP,℃,2019-01-13,18.07
18,大園,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
18,大園,38,相對濕度,RH,percent,2019-01-13,83.68
18,大園,143,小時風速值,WS_HR,m/sec,2019-01-13,5.86
19,觀音,1,二氧化硫,SO2,ppb,2019-01-13,3
19,觀音,2,一氧化碳,CO,ppm,2019-01-13,.49
19,觀音,3,臭氧,O3,ppb,2019-01-13,31
19,觀音,4,懸浮微粒,PM10,μg/m3,2019-01-13,31
19,觀音,5,氮氧化物,NOx,ppb,2019-01-13,7.36
19,觀音,6,一氧化氮,NO,ppb,2019-01-13,.5
19,觀音,7,二氧化氮,NO2,ppb,2019-01-13,6.8
19,觀音,10,風速,WIND_SPEED,m/sec,2019-01-13,6.27
19,觀音,14,溫度,AMB_TEMP,℃,2019-01-13,17.28
19,觀音,21,酸雨,PH_RAIN,pH,2019-01-13,0
19,觀音,22,導電度,RAIN_COND,μmho/cm,2019-01-13,0
19,觀音,32,降雨強度,RAIN_INT,㎜,2019-01-13,0
19,觀音,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,20
19,觀音,38,相對濕度,RH,percent,2019-01-13,89.08
19,觀音,143,小時風速值,WS_HR,m/sec,2019-01-13,5.85
20,平鎮,1,二氧化硫,SO2,ppb,2019-01-13,1.5
20,平鎮,2,一氧化碳,CO,ppm,2019-01-13,.59
20,平鎮,3,臭氧,O3,ppb,2019-01-13,25.3
20,平鎮,4,懸浮微粒,PM10,μg/m3,2019-01-13,23
20,平鎮,5,氮氧化物,NOx,ppb,2019-01-13,15.73
20,平鎮,6,一氧化氮,NO,ppb,2019-01-13,1.73
20,平鎮,7,二氧化氮,NO2,ppb,2019-01-13,13.99
20,平鎮,10,風速,WIND_SPEED,m/sec,2019-01-13,2.89
20,平鎮,14,溫度,AMB_TEMP,℃,2019-01-13,17.49
20,平鎮,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,7
20,平鎮,38,相對濕度,RH,percent,2019-01-13,86.43
20,平鎮,143,小時風速值,WS_HR,m/sec,2019-01-13,2.65
21,龍潭,1,二氧化硫,SO2,ppb,2019-01-13,2.6
21,龍潭,2,一氧化碳,CO,ppm,2019-01-13,.52
21,龍潭,3,臭氧,O3,ppb,2019-01-13,31.5
21,龍潭,4,懸浮微粒,PM10,μg/m3,2019-01-13,20
21,龍潭,5,氮氧化物,NOx,ppb,2019-01-13,11.4
21,龍潭,6,一氧化氮,NO,ppb,2019-01-13,1.9
21,龍潭,7,二氧化氮,NO2,ppb,2019-01-13,9.5
21,龍潭,10,風速,WIND_SPEED,m/sec,2019-01-13,4.26
21,龍潭,14,溫度,AMB_TEMP,℃,2019-01-13,17.1
21,龍潭,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,6
21,龍潭,38,相對濕度,RH,percent,2019-01-13,87.38
21,龍潭,143,小時風速值,WS_HR,m/sec,2019-01-13,3.8
22,湖口,1,二氧化硫,SO2,ppb,2019-01-13,2.3
22,湖口,2,一氧化碳,CO,ppm,2019-01-13,.49
22,湖口,3,臭氧,O3,ppb,2019-01-13,31.7
22,湖口,4,懸浮微粒,PM10,μg/m3,2019-01-13,30
22,湖口,5,氮氧化物,NOx,ppb,2019-01-13,8.96
22,湖口,6,一氧化氮,NO,ppb,2019-01-13,.82
22,湖口,7,二氧化氮,NO2,ppb,2019-01-13,8.11
22,湖口,10,風速,WIND_SPEED,m/sec,2019-01-13,4.83
22,湖口,14,溫度,AMB_TEMP,℃,2019-01-13,17.39
22,湖口,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,10
22,湖口,38,相對濕度,RH,percent,2019-01-13,79.05
22,湖口,143,小時風速值,WS_HR,m/sec,2019-01-13,4.59
23,竹東,1,二氧化硫,SO2,ppb,2019-01-13,1.3
23,竹東,2,一氧化碳,CO,ppm,2019-01-13,.45
23,竹東,3,臭氧,O3,ppb,2019-01-13,24.2
23,竹東,4,懸浮微粒,PM10,μg/m3,2019-01-13,17
23,竹東,5,氮氧化物,NOx,ppb,2019-01-13,9.4
23,竹東,6,一氧化氮,NO,ppb,2019-01-13,2.32
23,竹東,7,二氧化氮,NO2,ppb,2019-01-13,7.08
23,竹東,10,風速,WIND_SPEED,m/sec,2019-01-13,1.22
23,竹東,14,溫度,AMB_TEMP,℃,2019-01-13,20
23,竹東,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,11
23,竹東,38,相對濕度,RH,percent,2019-01-13,80.95
23,竹東,143,小時風速值,WS_HR,m/sec,2019-01-13,.81
24,新竹,1,二氧化硫,SO2,ppb,2019-01-13,2.2
24,新竹,2,一氧化碳,CO,ppm,2019-01-13,.53
24,新竹,3,臭氧,O3,ppb,2019-01-13,24.1
24,新竹,4,懸浮微粒,PM10,μg/m3,2019-01-13,32
24,新竹,5,氮氧化物,NOx,ppb,2019-01-13,12.66
24,新竹,6,一氧化氮,NO,ppb,2019-01-13,.7
24,新竹,7,二氧化氮,NO2,ppb,2019-01-13,11.94
24,新竹,8,總碳氫化合物,THC,ppm,2019-01-13,2.001
24,新竹,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.113
24,新竹,10,風速,WIND_SPEED,m/sec,2019-01-13,3.03
24,新竹,14,溫度,AMB_TEMP,℃,2019-01-13,18.79
24,新竹,31,甲烷,CH4,ppm,2019-01-13,1.888
24,新竹,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,18
24,新竹,38,相對濕度,RH,percent,2019-01-13,80.85
24,新竹,143,小時風速值,WS_HR,m/sec,2019-01-13,2.5
25,頭份,1,二氧化硫,SO2,ppb,2019-01-13,x
25,頭份,2,一氧化碳,CO,ppm,2019-01-13,.52
25,頭份,3,臭氧,O3,ppb,2019-01-13,24.5
25,頭份,4,懸浮微粒,PM10,μg/m3,2019-01-13,30
25,頭份,5,氮氧化物,NOx,ppb,2019-01-13,11.44
25,頭份,6,一氧化氮,NO,ppb,2019-01-13,.9
25,頭份,7,二氧化氮,NO2,ppb,2019-01-13,10.53
25,頭份,8,總碳氫化合物,THC,ppm,2019-01-13,1.929
25,頭份,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.102
25,頭份,10,風速,WIND_SPEED,m/sec,2019-01-13,2.56
25,頭份,14,溫度,AMB_TEMP,℃,2019-01-13,18.18
25,頭份,31,甲烷,CH4,ppm,2019-01-13,1.827
25,頭份,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,14
25,頭份,38,相對濕度,RH,percent,2019-01-13,74.11
25,頭份,143,小時風速值,WS_HR,m/sec,2019-01-13,2.08
26,苗栗,1,二氧化硫,SO2,ppb,2019-01-13,3.2
26,苗栗,2,一氧化碳,CO,ppm,2019-01-13,.61
26,苗栗,3,臭氧,O3,ppb,2019-01-13,18.4
26,苗栗,4,懸浮微粒,PM10,μg/m3,2019-01-13,33
26,苗栗,5,氮氧化物,NOx,ppb,2019-01-13,15.57
26,苗栗,6,一氧化氮,NO,ppb,2019-01-13,2.59
26,苗栗,7,二氧化氮,NO2,ppb,2019-01-13,12.99
26,苗栗,10,風速,WIND_SPEED,m/sec,2019-01-13,2.92
26,苗栗,14,溫度,AMB_TEMP,℃,2019-01-13,19.2
26,苗栗,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,19
26,苗栗,38,相對濕度,RH,percent,2019-01-13,82.28
26,苗栗,143,小時風速值,WS_HR,m/sec,2019-01-13,2.63
27,三義,1,二氧化硫,SO2,ppb,2019-01-13,2.3
27,三義,2,一氧化碳,CO,ppm,2019-01-13,.47
27,三義,3,臭氧,O3,ppb,2019-01-13,23.2
27,三義,4,懸浮微粒,PM10,μg/m3,2019-01-13,20
27,三義,5,氮氧化物,NOx,ppb,2019-01-13,9.48
27,三義,6,一氧化氮,NO,ppb,2019-01-13,1.09
27,三義,7,二氧化氮,NO2,ppb,2019-01-13,8.38
27,三義,10,風速,WIND_SPEED,m/sec,2019-01-13,5.05
27,三義,14,溫度,AMB_TEMP,℃,2019-01-13,16.35
27,三義,21,酸雨,PH_RAIN,pH,2019-01-13,0
27,三義,22,導電度,RAIN_COND,μmho/cm,2019-01-13,0
27,三義,32,降雨強度,RAIN_INT,㎜,2019-01-13,0
27,三義,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,11
27,三義,38,相對濕度,RH,percent,2019-01-13,98.07
27,三義,143,小時風速值,WS_HR,m/sec,2019-01-13,4.83
28,豐原,1,二氧化硫,SO2,ppb,2019-01-13,.9
28,豐原,2,一氧化碳,CO,ppm,2019-01-13,.48
28,豐原,3,臭氧,O3,ppb,2019-01-13,18.7
28,豐原,4,懸浮微粒,PM10,μg/m3,2019-01-13,21
28,豐原,5,氮氧化物,NOx,ppb,2019-01-13,12.11
28,豐原,6,一氧化氮,NO,ppb,2019-01-13,3.16
28,豐原,7,二氧化氮,NO2,ppb,2019-01-13,8.95
28,豐原,8,總碳氫化合物,THC,ppm,2019-01-13,1.946
28,豐原,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.1
28,豐原,10,風速,WIND_SPEED,m/sec,2019-01-13,2.16
28,豐原,14,溫度,AMB_TEMP,℃,2019-01-13,18.77
28,豐原,31,甲烷,CH4,ppm,2019-01-13,1.846
28,豐原,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,10
28,豐原,38,相對濕度,RH,percent,2019-01-13,80.16
28,豐原,143,小時風速值,WS_HR,m/sec,2019-01-13,1.8
29,沙鹿,1,二氧化硫,SO2,ppb,2019-01-13,1.4
29,沙鹿,2,一氧化碳,CO,ppm,2019-01-13,.55
29,沙鹿,3,臭氧,O3,ppb,2019-01-13,25.9
29,沙鹿,4,懸浮微粒,PM10,μg/m3,2019-01-13,28
29,沙鹿,5,氮氧化物,NOx,ppb,2019-01-13,12.72
29,沙鹿,6,一氧化氮,NO,ppb,2019-01-13,1.5
29,沙鹿,7,二氧化氮,NO2,ppb,2019-01-13,11.22
29,沙鹿,10,風速,WIND_SPEED,m/sec,2019-01-13,5.77
29,沙鹿,14,溫度,AMB_TEMP,℃,2019-01-13,19.5
29,沙鹿,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,13
29,沙鹿,38,相對濕度,RH,percent,2019-01-13,78.87
29,沙鹿,143,小時風速值,WS_HR,m/sec,2019-01-13,5.36
30,大里,1,二氧化硫,SO2,ppb,2019-01-13,2.1
30,大里,2,一氧化碳,CO,ppm,2019-01-13,.63
30,大里,3,臭氧,O3,ppb,2019-01-13,16
30,大里,4,懸浮微粒,PM10,μg/m3,2019-01-13,24
30,大里,5,氮氧化物,NOx,ppb,2019-01-13,19.84
30,大里,6,一氧化氮,NO,ppb,2019-01-13,4.26
30,大里,7,二氧化氮,NO2,ppb,2019-01-13,15.58
30,大里,8,總碳氫化合物,THC,ppm,2019-01-13,2.034
30,大里,9,非甲烷碳氫化合物,NMHC,ppm,2019-01-13,.14
30,大里,10,風速,WIND_SPEED,m/sec,2019-01-13,1.97
30,大里,14,溫度,AMB_TEMP,℃,2019-01-13,21.09
30,大里,31,甲烷,CH4,ppm,2019-01-13,1.895
30,大里,33,細懸浮微粒,PM2.5,μg/m3,2019-01-13,9
30,大里,36,二氧化碳,CO2,ppm,2019-01-13,445.51
30,大里,38,相對濕度,RH,percent,2019-01-13,72.19
30,大里,143,小時風速值,WS_HR,m/sec,2019-01-13,1.47
31,忠明,1,二氧化硫,SO2,ppb,2019-01-13,x
31,忠明,2,一氧化碳,CO,ppm,2019-01-13,.52
31,忠明,3,臭氧,O3,ppb,2019-01-13,20.6
31,忠明,4,懸浮微粒,PM10,μg/m3,2019-01-13,25
31,忠明,5,氮氧化物,NOx,ppb,2019-01-13,15.98
31,忠明,6,一氧化氮,NO,ppb,2019-01-13,2.88
